                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 1.0242,                0.57448,                 1.1553,                0.92852,                0.90833,                0.93043,                0.55744,                 1.3968,                0.68326,                 1.2558,              0.0013812,              0.0013812,              0.0013812
                    151,                 1.0254,                0.56996,                 1.1527,                0.92745,                0.90798,                0.93055,                0.55799,                 1.3967,                0.68277,                 1.2557,              0.0013229,              0.0013229,              0.0013229
                    152,                 1.0186,                 0.5753,                 1.1551,                0.92746,                0.90814,                0.93049,                0.55789,                 1.3967,                0.68282,                 1.2559,              0.0012647,              0.0012647,              0.0012647
                    153,                 1.0241,                0.57715,                 1.1548,                0.92746,                0.90819,                0.93056,                0.55908,                 1.3961,                0.68268,                 1.2557,              0.0012065,              0.0012065,              0.0012065
                    154,                 1.0174,                0.57825,                 1.1517,                0.92745,                0.90802,                0.93053,                0.55852,                 1.3956,                0.68225,                 1.2553,              0.0011482,              0.0011482,              0.0011482
                    155,                 1.0175,                0.57148,                 1.1545,                0.92919,                0.90788,                0.93129,                 0.5593,                 1.3954,                0.68171,                 1.2553,                0.00109,                0.00109,                0.00109
                    156,                 1.0071,                0.57152,                 1.1501,                0.92789,                0.90677,                0.93107,                0.55942,                 1.3958,                0.68196,                 1.2554,              0.0010318,              0.0010318,              0.0010318
                    157,                 1.0135,                0.56741,                 1.1477,                0.92842,                0.90691,                0.93128,                0.55895,                 1.3952,                0.68153,                 1.2552,             0.00097353,             0.00097353,             0.00097353
                    158,                 1.0091,                0.56551,                 1.1446,                0.92847,                0.90765,                0.93129,                0.55989,                 1.3953,                0.68081,                 1.2552,             0.00091529,             0.00091529,             0.00091529
                    159,                 1.0131,                0.56506,                 1.1487,                 0.9283,                0.90529,                0.93028,                0.55893,                 1.3956,                0.68076,                 1.2554,             0.00085706,             0.00085706,             0.00085706
                    160,                 1.0009,                0.56101,                 1.1494,                0.92781,                0.90566,                0.92989,                0.55847,                  1.404,                0.68491,                 1.2561,             0.00079882,             0.00079882,             0.00079882
                    161,                 1.0271,                 0.5113,                 1.1618,                0.92789,                0.90455,                0.92903,                 0.5585,                  1.404,                0.68497,                 1.2564,             0.00074059,             0.00074059,             0.00074059
                    162,                  1.016,                0.50133,                 1.1597,                0.92827,                0.90493,                0.93004,                0.55867,                 1.4042,                0.68517,                 1.2566,             0.00068235,             0.00068235,             0.00068235
                    163,                 1.0025,                0.49186,                 1.1458,                0.92924,                0.90677,                0.93124,                0.55859,                  1.404,                0.68509,                 1.2565,             0.00062412,             0.00062412,             0.00062412
                    164,                0.99834,                 0.4886,                 1.1458,                0.93055,                0.90715,                0.93064,                0.55803,                 1.4041,                0.68476,                 1.2566,             0.00056588,             0.00056588,             0.00056588
                    165,                0.99766,                0.49292,                 1.1428,                 0.9296,                0.90859,                0.93136,                0.55803,                 1.4039,                0.68427,                 1.2568,             0.00050765,             0.00050765,             0.00050765
                    166,                 0.9934,                0.48742,                 1.1413,                0.92927,                0.90899,                 0.9314,                0.55868,                 1.4039,                0.68467,                 1.2571,             0.00044941,             0.00044941,             0.00044941
                    167,                0.98552,                0.48537,                  1.132,                0.92965,                0.90935,                0.93217,                0.55976,                 1.4033,                0.68423,                 1.2571,             0.00039118,             0.00039118,             0.00039118
                    168,                0.99051,                0.48625,                 1.1394,                0.93075,                0.90999,                0.93252,                0.55979,                 1.4029,                0.68444,                  1.257,             0.00033294,             0.00033294,             0.00033294
                    169,                0.98425,                0.48119,                 1.1367,                 0.9286,                0.90935,                0.93056,                0.55871,                 1.4034,                0.68433,                 1.2571,             0.00027471,             0.00027471,             0.00027471
                    170,                0.97805,                0.48202,                 1.1338,                 0.9286,                0.90935,                0.93053,                0.55879,                 1.4028,                0.68446,                  1.257,             0.00021647,             0.00021647,             0.00021647
